date,ouv,haut,bas,clot,vol,devise
24/10/2024 09:00,42.26,42.31,42.2,42.31,12263,EUR
24/10/2024 09:02,42.27,42.27,42.24,42.27,606,EUR
24/10/2024 09:04,42.28,42.34,42.27,42.31,2359,EUR
24/10/2024 09:06,42.37,42.47,42.37,42.47,1076,EUR
24/10/2024 09:08,42.44,42.44,42.37,42.37,1490,EUR
24/10/2024 09:10,42.4,42.43,42.38,42.43,1603,EUR
24/10/2024 09:12,42.43,42.43,42.42,42.42,164,EUR
24/10/2024 09:14,42.38,42.43,42.38,42.39,551,EUR
24/10/2024 09:16,42.39,42.39,42.39,42.39,101,EUR
24/10/2024 09:18,42.37,42.37,42.34,42.34,1406,EUR
24/10/2024 09:20,42.36,42.36,42.36,42.36,81,EUR
24/10/2024 09:22,42.32,42.32,42.32,42.32,121,EUR
24/10/2024 09:24,42.33,42.37,42.33,42.37,417,EUR
24/10/2024 09:26,42.31,42.34,42.31,42.34,772,EUR
24/10/2024 09:28,42.33,42.33,42.32,42.32,134,EUR
24/10/2024 09:30,42.31,42.38,42.31,42.38,1819,EUR
24/10/2024 09:32,42.39,42.42,42.39,42.4,646,EUR
24/10/2024 09:34,42.42,42.44,42.42,42.43,460,EUR
24/10/2024 09:36,42.41,42.42,42.41,42.42,82,EUR
24/10/2024 09:38,42.42,42.42,42.41,42.42,368,EUR
24/10/2024 09:40,42.42,42.42,42.42,42.42,0,EUR
24/10/2024 09:42,42.42,42.44,42.4,42.4,1147,EUR
24/10/2024 09:44,42.38,42.4,42.38,42.4,533,EUR
24/10/2024 09:46,42.4,42.4,42.4,42.4,0,EUR
24/10/2024 09:48,42.39,42.41,42.38,42.41,695,EUR
24/10/2024 09:50,42.41,42.41,42.41,42.41,0,EUR
24/10/2024 09:52,42.42,42.42,42.42,42.42,51,EUR
24/10/2024 09:54,42.42,42.46,42.42,42.45,1246,EUR
24/10/2024 09:56,42.46,42.5,42.46,42.5,481,EUR
24/10/2024 09:58,42.5,42.5,42.46,42.46,2217,EUR
24/10/2024 10:00,42.45,42.45,42.44,42.44,396,EUR
24/10/2024 10:02,42.42,42.42,42.41,42.41,597,EUR
24/10/2024 10:04,42.4,42.4,42.39,42.39,317,EUR
24/10/2024 10:06,42.35,42.35,42.35,42.35,501,EUR
24/10/2024 10:08,42.35,42.38,42.35,42.38,492,EUR
24/10/2024 10:10,42.4,42.4,42.4,42.4,1835,EUR
24/10/2024 10:12,42.4,42.44,42.4,42.42,575,EUR
24/10/2024 10:14,42.44,42.45,42.44,42.44,584,EUR
24/10/2024 10:16,42.47,42.48,42.47,42.47,671,EUR
24/10/2024 10:18,42.46,42.46,42.46,42.46,167,EUR
